Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Hero,Hero Electric Optima HX Dual Battery,2021,65000,Yes,Hyderabad, Telangana
Royal Enfield,Royal Enfield Hunter 350 Metro,2024,200000,Yes,Udupi, Karnataka
Hero,Hero Xtreme 200S,2019,60000,Yes,"Chembur, Mumbai", Maharashtra
Bajaj,Bajaj Platina 110 ABS,2023,65000,Yes,Trivandrum, Kerala
TVS,TVS Apache RTR 160 4V,2022,100000,Yes,Nashik, Maharashtra
Yamaha,Yamaha YZF R1M,2023,180000,Yes,"Kakdwip, South 24 Parganas", West Bengal
Suzuki,Suzuki Burgman Street EX 2025,2025,120000,Yes,"Rajpur Sonarpur, South 24 Parganas", West Bengal
Ola,Ola S1 Pro,2023,80000,Yes,"Yelahanka, Bangalore", Karnataka
Hero,Hero Xtreme 160R,2020,52000,Yes,Faridabad, Haryana
Harley,Harley Davidson X440 Vivid,2023,275000,Yes,Hyderabad, Telangana
Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2021,150000,Yes,Pune, Maharashtra
Honda,Honda Livo Disc,2019,45000,Yes,Ghaziabad, Uttar Pradesh
Honda,Honda Activa 5G,2019,55000,Yes,Hyderabad, Telangana
Royal Enfield,Royal Enfield Thunderbird 350,2016,65000,Yes,Dhanbad, Jharkhand
Bajaj,Bajaj Chetak Electric,2024,85000,Yes,Pune, Maharashtra
Hero,Hero 2023 HF Deluxe,2023,44000,Yes,Amroha, Uttar Pradesh
Bajaj,Bajaj Pulsar 150,2019,60000,Yes,Bhopal, Madhya Pradesh
